,Name,App_id,Avg_Players,Gain,Perc_Gain,Peak_Players,Last 30 Days,April 2021,March 2021,February 2021,January 2021,December 2020,November 2020,October 2020,September 2020,August 2020,July 2020,June 2020,May 2020,April 2020,March 2020,February 2020,January 2020,December 2019,November 2019,October 2019,September 2019,August 2019,July 2019,June 2019,May 2019,April 2019,March 2019,February 2019,January 2019,December 2018,November 2018,October 2018,September 2018,August 2018,July 2018,June 2018,May 2018,April 2018,March 2018,February 2018,January 2018,December 2017,November 2017,October 2017,September 2017,August 2017,July 2017,June 2017,May 2017,April 2017,March 2017,February 2017,January 2017,December 2016,November 2016,October 2016,September 2016,August 2016,July 2016,June 2016,May 2016,April 2016,March 2016,February 2016,January 2016,December 2015,November 2015,October 2015,September 2015,August 2015,July 2015,June 2015,May 2015,April 2015,March 2015,February 2015,January 2015,December 2014,November 2014,October 2014,September 2014,August 2014,July 2014,June 2014,May 2014,April 2014,March 2014,February 2014,January 2014,December 2013,November 2013,October 2013,September 2013,August 2013,July 2013,June 2013,May 2013,April 2013,March 2013,February 2013,January 2013,December 2012,November 2012,October 2012,September 2012,August 2012,July 2012,birth
22,Hearts of Iron IV,394360,0.0,0.0,1.0,0.0,+1.58,1.22,-2.05,-1.39,9.1,-2.45,9.9,18.04,-17.35,-3.22,10.27,-0.14,2.84,-8.54,8.22,13.41,9.03,4.09,3.4,1.01,-5.37,-1.25,-1.26,+23.51,-8.9,-28.71,26.1,5.84,10.72,5.52,2.59,-7.54,-0.61,-8.92,8.69,5.75,-4.94,-13.78,39.11,-1.6,4.43,6.73,7.78,1.72,2.4,-6.84,-1.64,27.51,-2.54,14.14,5.16,-10.44,14.13,+34.00,-6.55,-9.04,-6.52,-30.04,-27.31,276542.65,89.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April 2016
23,Black Desert Online,582660,0.0,0.0,1.0,0.0,-13.65,-21.0,71.55,-10.78,22.73,2.37,-6.27,-11.89,15.43,-5.7,-15.74,-8.49,-14.01,-3.61,60.05,5.49,31.44,5.55,-0.53,-7.57,-16.71,+13.89,5.42,-25.18,23.51,-12.98,17.35,-13.35,27.06,0.58,8.52,-18.22,10.73,-23.19,-4.89,6.63,-2.76,-4.07,-6.8,3.24,29.45,18.97,-20.08,4.87,-14.1,-28.78,+19.33,533.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May 2017
24,Euro Truck Simulator 2,227300,0.0,0.0,1.0,0.0,-5.73,19.51,-11.22,-1.88,0.58,19.98,4.38,20.73,-8.15,-12.09,-0.96,-5.74,-26.69,39.49,9.46,-0.58,-13.33,30.08,6.45,7.54,-5.3,-12.21,8.01,+8.50,2.31,-8.52,-6.62,-10.36,-4.72,29.0,-0.95,-3.92,4.38,-3.43,4.41,3.9,18.07,-9.16,-11.75,-20.76,-6.26,49.68,17.04,-4.67,-7.32,-13.1,+23.04,-8.82,28.85,13.72,-13.37,-20.77,11.02,+31.40,2.48,9.17,-9.85,-7.21,15.37,2.31,13.45,-6.71,-14.96,-27.98,16.65,34.42,6.79,9.52,-9.01,6.1,-12.67,9.89,47.24,-1.33,-12.7,-18.97,-11.81,70.03,4.37,12.17,-5.8,1.39,6.77,26.81,60.89,33.66,0.13,-31.3,-6.3,+79.44,+13.22,+6.29,+9.26,-24.06,+179.83,-21.03,-21.14,-17.42,-5.48,-18.73,,,,,,,,January 2013
25,The Elder Scrolls Online,306130,0.0,0.0,1.0,0.0,-14.92,15.79,1.4,3.98,7.56,5.0,-11.24,1.27,-19.28,6.19,-4.33,-1.68,-17.82,92.92,-6.24,2.09,23.61,8.16,3.32,-6.95,-9.98,-8.78,-16.86,-1.33,10.33,+18.52,1.39,8.23,3.23,10.31,-15.62,3.96,-14.78,7.36,-12.1,46.1,-7.32,14.31,11.32,-12.71,-11.82,48.78,0.63,-4.78,0.91,-3.36,-15.49,7.37,-18.04,51.64,-22.44,24.66,-20.49,+6.94,179.79,39.71,-22.77,-8.91,16.59,70.55,-12.16,-22.41,-3.92,-34.79,18.32,106.39,-4.32,-29.46,-1.22,-12.18,25.95,12.43,-22.2,15.76,133.79,-9.74,19.23,65.26,-19.11,-11.36,-42.94,-37.38,,,,,,,,,,,,,,,,,,,,,,,,,,July 2014
26,VRChat,438100,0.0,0.0,1.0,0.0,-1.44,2.75,-0.58,-1.66,17.0,7.58,17.36,-2.69,-9.35,2.95,-0.62,-5.03,0.4,23.9,18.63,0.08,8.53,6.8,-0.19,7.3,3.81,-4.95,10.07,+2.73,-1.73,-8.11,-0.5,-10.83,20.23,-2.71,-4.36,10.0,-2.18,0.11,3.36,7.27,5.31,-5.74,-12.75,-32.68,428.42,479.45,131.61,147.34,71.52,26.07,+20.55,-4.58,-5.01,-16.03,-42.69,3971.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,January 2017
27,Total War: WARHAMMER II,594570,0.0,0.0,1.0,0.0,-0.76,-14.05,-18.5,15.41,-12.06,33.43,4.12,20.12,-16.36,-18.3,-21.87,-11.76,47.76,16.22,1.28,-10.77,-7.44,59.26,-17.51,5.12,57.08,-6.91,1.61,-31.84,-14.13,+33.69,4.73,-6.56,-0.88,-14.57,45.92,33.25,-5.4,-23.85,-22.0,71.9,-2.16,-2.64,-20.63,-12.84,38.6,-28.0,-38.1,433.3,21877.45,49.08,+36.13,25.97,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April 2017
28,7 Days to Die,251570,0.0,0.0,1.0,0.0,+15.67,18.5,-20.86,-19.08,18.31,-8.06,30.17,-14.74,1.38,-14.48,84.73,-21.97,-7.97,0.9,6.81,2.43,0.92,-15.13,40.77,100.29,-14.24,-11.48,7.96,+11.84,4.64,-13.78,-11.96,-29.68,-2.78,35.52,57.6,7.79,-1.86,-14.14,7.19,-2.45,-11.23,-7.07,-11.49,-16.04,3.72,-3.13,17.84,-6.18,-19.13,-24.02,+49.03,40.41,-10.99,-26.78,23.64,-25.03,6.18,+0.69,2.59,91.51,-4.0,-16.57,50.31,-3.67,-26.34,+64.15,-12.73,-30.37,2.73,110.84,-2.88,-3.89,-25.06,-22.33,33.88,-4.17,-27.95,95.56,-16.61,-36.38,-4.18,66.94,17.3,-20.86,8.8,37.38,8.39,52.22,-7.59,-20.62,29.17,24.42,6.83,,,,,,,,,,,,,,,,,,,December 2013
29,DayZ,221100,0.0,0.0,1.0,0.0,+6.23,-2.35,-9.58,-15.61,15.45,17.81,4.93,-7.25,42.33,-2.52,2.45,-14.28,-6.71,12.73,-12.47,20.41,17.28,40.09,-5.24,9.41,-12.08,-7.67,23.05,+17.09,11.38,+31.19,4.09,-23.97,-18.92,79.05,160.28,-7.28,14.31,-11.84,-34.47,23.79,8.41,-3.67,-1.02,-10.12,-1.91,4.76,-0.28,2.17,-12.05,-21.09,-24.75,38.99,-9.37,-19.35,-7.18,-20.26,7.17,+13.89,9.31,1.75,-19.33,-33.31,-21.11,69.5,13.2,-11.78,-17.45,-12.83,11.95,69.92,-20.69,-19.86,-22.02,-2.01,2.46,34.88,-29.65,-33.02,-7.73,3.87,-5.62,14.88,24.43,-8.72,-21.12,-1.64,4.15,-13.87,-9.7,6.37,-19.37,-5.76,85.17,+253402.45,+88.00,+127.62,-51.06,+228.01,+18.71,-5.49,+84.84,-58.81,-7.75,+117.45,+27.12,-28.78,+250.55,,,,,September 2012
30,Arma 3,107410,0.0,0.0,1.0,0.0,+19.36,-7.01,-6.17,0.28,14.57,-6.24,2.5,6.48,-2.49,-0.27,-0.39,-18.01,-21.06,33.19,14.27,-9.44,26.94,9.68,-6.73,-4.6,-11.78,-11.87,7.31,+0.12,3.64,-3.70,-8.09,1.63,12.44,7.97,-5.93,-5.3,-6.82,-17.74,10.95,-2.83,-4.23,4.9,-1.5,-7.13,-3.64,16.53,0.5,-8.6,0.05,-18.73,-0.15,6.96,-11.4,4.89,-5.31,-12.73,20.81,+12.04,-2.27,1.21,-12.6,-13.4,5.26,10.64,12.62,-6.63,-3.94,0.29,20.24,21.4,-15.06,7.27,-5.14,7.45,5.67,-13.93,-1.18,0.74,0.96,-10.38,26.45,8.16,-0.68,21.43,-10.22,-1.18,7.15,-13.74,17.34,16.82,28.74,36.49,47.17,+3.78,+0.11,-27.41,+70.39,+8.82,-1.41,+77.11,-14.77,-57.10,,,,,,,,,,March 2013
31,The Elder Scrolls V: Skyrim Special Edition,489830,0.0,0.0,1.0,0.0,+2.46,-2.41,-15.68,2.72,24.3,5.42,2.31,-8.23,-18.18,2.96,8.64,3.94,-5.86,18.6,2.14,-8.07,21.16,24.41,1.8,-3.4,-16.87,+0.64,2.53,+8.19,-1.07,+2.60,-6.97,-2.17,9.84,13.55,-2.63,8.95,-13.56,-8.65,5.1,3.89,-6.3,15.41,-1.3,-15.39,10.46,25.97,-8.2,-12.33,11.69,-5.5,+9.68,4.0,18.16,-8.4,-16.17,-18.01,-19.69,-45.94,394.04,398832.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,September 2016
